,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV10508,Bacteria,Bacteroidota,Bacteroidia,AKYH767,Palsa-965,Palsa-965,
ASV10509,Bacteria,Bacteroidota,Bacteroidia,AKYH767,Palsa-948,Palsa-948,
ASV10510,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,BACL12,UBA7236,
ASV10511,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,UBA10324,JAFDYS01,
ASV10512,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,VBAT01,
ASV10513,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Flavipsychrobacter,
ASV10514,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,UTBCD1,
ASV10515,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,UTBCD1,
ASV10516,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Puia,
ASV10517,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Puia,
ASV10518,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Puia,
ASV10519,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Puia,
ASV10520,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,,
ASV10521,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,SCN-69-37,,
ASV10522,Bacteria,Acidobacteriota,Vicinamibacteria,Fen-336,Fen-336,,
ASV10523,Bacteria,Acidobacteriota,Vicinamibacteria,Fen-336,Fen-336,,
ASV10524,Bacteria,Acidobacteriota,Vicinamibacteria,Fen-336,Fen-336,CADEEV01,
ASV10525,Bacteria,Acidobacteriota,Vicinamibacteria,Fen-336,,,
ASV10526,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,,
ASV10527,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,,
ASV10528,Bacteria,Acidobacteriota,Thermoanaerobaculia,UBA5066,UBA5066,,
ASV10529,Bacteria,Acidobacteriota,Thermoanaerobaculia,UBA5066,UBA5066,Fen-183,
ASV10530,Bacteria,Acidobacteriota,Thermoanaerobaculia,UBA5066,UBA5066,Fen-183,
ASV10531,Bacteria,Acidobacteriota,Acidobacteriae,,,,
ASV10532,Bacteria,Acidobacteriota,Acidobacteriae,Acidoferrales,UBA7541,,
ASV10533,Bacteria,Acidobacteriota,Acidobacteriae,Acidoferrales,UBA7541,Acidoferrum,
ASV10534,Bacteria,Acidobacteriota,Acidobacteriae,Acidoferrales,UBA7541,Acidoferrum,
ASV10535,Bacteria,Acidobacteriota,Acidobacteriae,Acidoferrales,UBA7541,Acidoferrum,
ASV10536,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Gp1-AA117,Gp1-AA17,
ASV10537,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,SbA1,PALSA-188,
ASV10538,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,SbA1,Bog-209,
ASV10539,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Koribacteraceae,Bog-257,
ASV10540,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,,,
ASV10541,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,CAINCZ01,,
ASV10542,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,SbA1,,
ASV10543,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,SbA1,,
ASV10544,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,CAINCZ01,,
ASV10545,Bacteria,Actinobacteriota,UBA4738,UBA4738,HRBIN12,AC-51,
ASV10546,Bacteria,Actinobacteriota,UBA4738,UBA4738,HRBIN12,AC-51,
ASV10547,Bacteria,Actinobacteriota,Actinomycetia,,,,
ASV10548,Bacteria,Actinobacteriota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,UBA9676,
ASV10549,Bacteria,Actinobacteriota,Actinomycetia,Streptosporangiales,Streptosporangiaceae,UBA9676,
ASV10550,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Dermatophilaceae,Lapillicoccus,
ASV10551,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Microbacteriaceae,Leifsonia,
ASV10552,Bacteria,Actinobacteriota,Actinomycetia,Actinomycetales,Micrococcaceae,,
ASV10553,Bacteria,Actinobacteriota,Acidimicrobiia,IMCC26256,PALSA-555,,
ASV10554,Bacteria,Actinobacteriota,Acidimicrobiia,IMCC26256,PALSA-555,,
ASV10555,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Microtrichaceae,,
ASV10556,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,CADCTF01,,
ASV10557,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,RAAP-2,RAAP-2,
ASV10558,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,RAAP-2,RAAP-2,
ASV10559,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,,,
ASV10560,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,70-9,,
ASV10561,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,70-9,,
ASV10562,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,70-9,WHSW01,
ASV10563,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Palsa-465,
ASV10564,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Palsa-744,
ASV10565,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Palsa-744,
ASV10566,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Palsa-744,
ASV10567,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Palsa-744,
ASV10568,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Palsa-744,
ASV10569,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Palsa-744,
ASV10570,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Palsa-744,
ASV10571,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Midichloriaceae,,
ASV10572,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,
ASV10573,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,
ASV10574,Bacteria,Proteobacteria,Alphaproteobacteria,Dongiales,Dongiaceae,,
ASV10575,Bacteria,Proteobacteria,Alphaproteobacteria,CADEGL01,,,
ASV10576,Bacteria,Proteobacteria,Alphaproteobacteria,ATCC43930,Stellaceae,AP-15,
ASV10577,Bacteria,Proteobacteria,Alphaproteobacteria,,,,
ASV10578,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,GAS188,
ASV10579,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,GAS188,
ASV10580,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Pseudolabrys,
ASV10581,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Pseudolabrys,
ASV10582,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Palsa-881,
ASV10583,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Palsa-881,
ASV10584,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,
ASV10585,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Phenylobacterium,
ASV10586,Bacteria,Proteobacteria,Gammaproteobacteria,,,,
ASV10587,Bacteria,Proteobacteria,Gammaproteobacteria,Berkiellales,Berkiellaceae,Berkiella,
ASV10588,Bacteria,Proteobacteria,Gammaproteobacteria,JABCZS01,JABCZS01,,
ASV10589,Bacteria,Proteobacteria,Gammaproteobacteria,Nevskiales,Nevskiaceae,Nevskia,
ASV10590,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dokdonella_A,
ASV10591,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacter,
ASV10592,Bacteria,Proteobacteria,Gammaproteobacteria,REEB76,REEB76,,
ASV10593,Bacteria,Proteobacteria,Gammaproteobacteria,REEB76,REEB76,,
ASV10594,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,
ASV10595,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,
ASV10596,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SG8-39,JAABQT01,
ASV10597,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,JACMKV01,,
ASV10598,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Ramlibacter,
ASV10599,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,PKWO01,
ASV10600,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,JAEUPI01,
ASV10601,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Casimicrobiaceae,PALSA-1003,
ASV10602,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Casimicrobiaceae,VBCG01,
ASV10603,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Casimicrobiaceae,VBCG01,
ASV10604,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Casimicrobiaceae,VBCG01,
ASV10605,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,13-2-20CM-66-19,
ASV10606,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,13-2-20CM-66-19,
ASV10607,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,13-2-20CM-66-19,
ASV10608,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,13-2-20CM-66-19,
ASV10609,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,,
ASV10610,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,FEN-1191,
ASV10611,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,FEN-1191,
ASV10612,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,FEN-1191,
ASV10613,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,FEN-1191,
ASV10614,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,FEN-1191,
