Genus,GcA-0,GcA-1,GcA-2,GcA-3,GcA4,GcA5,GcA6,GcA7,GcA8,GcA9,GcA10,GcA11,GcA12,GcA13,GcA14,GcB-0,GcB-1,GcB-2,GcB-3,GcB4,GcB5,GcB6,GcB7,GcB8,GcB9,GcB10,GcB11,GcB12,GcB13,GcB14,GcC-0,GcC-1,GcC-2,GcC-3,GcC5,GcC6,GcC7,GcC8,GcC9,GcC10,GcC11,GcL-0,GcL-1,GcL-2,GcL-3,GcL4,GcL5,GcL6,GcL7,GcL8,GcL9,GcL10,GcL11,GcL12,GcL13
2-02-FULL-55-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000135825274367054,0.000250972518509223,0.000348509330545259,0.000225756283549892,0,0,0,0,0,0.000441219727424257,0.000563316809373592,0.000212273663206606,0,0,7.72499034376207e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.000243955329068633,0.00021576303054588,0,0,0,0,0,0,0,0.00124559341950646,0.000621697233447311,0.000228041503553647,0.000154180607163231
2-02-FULL-66-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00297359022700449,0.00080416768644453,0.000832279113123377,0.00117745179806702,0.00444072220166332,0.00429789495575017,0.00183620351552751,0.000692427965155238,0.000701016473887136,0.000679686437989941,0.000530100895870514,0.00203820775900784,0.00303588853952076,0.00255833307647258,0.00244694576678382,0.00235615861996424,0.00393302618271716,0.00358770483855328,0.00460331626661656,0.00190264049375841,0,0.000705052878965922,0.00050512900217594,0.000304055338071529,0.000678394671518216
2-12-FULL-35-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000677847506177159,0.00181524406056133,0.00231749710312862,0.000674422525712359,0,0,0,0,0,0,0,0.000214199478132181,0.000181249716797317,0.00037107062710936,0,0,0,0,0,0,0,0,0,0,0,0.000271992539633199,0.00553000646117593,0.0120569234801647
2-12-FULL-40-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.36820989619818e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-12-FULL-50-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.77121541809139e-05,0,0
2-12-FULL-55-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000488207901457113,0.000148591564244624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-12-FULL-64-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000828209311080437,0,0.000451512567099784,0.00107375343936649,0,0,0,0,0,0,0,0,0.000219425106221699,0,0.000337211262856179,0,0,0,0,0,0,0,0,0,0,0,0.000677653691857313,0.00052399593132571,0.000622858922454064,0.00025244556642474,0.000866871077007047,0,0,0,0,0,0,0.000285051879442058,0.000138762546446908
2-12-FULL-67-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000199261200778651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000112372176649062,0,0,0,0,0,0,0,0
20-14-0-80-50-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000451750533316602,0,0,0,0,0,0,0,0,0,0,0.00015306234010452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000602269194902083,0.000703127969290411,0
2011-GWC2-44-17,0,0,0,0,0,0,0,0,0,0,0,0.0012288443277663,0.000348438126099758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00025256450108797,0,0
2013-40CM-41-45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000125486259254612,0,0,0,0,0,0,0,0,0,0.000403319960092551,0.00137756106094068,0.00317169017175001,0.00247199691000386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-40CM-41-45 Family,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000488970987721395,0.000225875266658301,0,0,0,0,0,0,0,0,0,0.00271710288904456,0.00321430914219491,0.00173545311284435,0.00102356122054847,0.000306555693505618,0,0,0,0,0,0,0,0,0,0,0,0.000243955329068633,0,0,0,0,0,0,0,0,0,0.00108797015853279,0.00421876781574246,0.00519588646140088
20CM-2-65-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00108660219493643,0.00243443342953947,0.00183759465196591,0.000953193197210656,0.000111849316600676,0.00213957137253504,0.0040920716112532,0.00306748466257669,0,0,0,0.000318410494809909,0.000546651214658999,0,0.000328312089609888,0.000934994865192134,0,0,0,0,0,0,0,0,0,0,0,0,0.000277409610701846,0.000578368999421631,0.00370253497422952,0.00566676833673125,0,0.000704589224482127,0,0,0,0.000135996269816599,0,0
21-14-0-10-47-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.30100895870514e-05,0,0,0,0,0,0,0,0,0,0,0.000282021151586369,0.000291420578178427,0,0
21-14-0-10-47-8-A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000244485493860698,0.000125486259254612,0,0.000150504189033261,0,0,0,0,0,0,0.000713534625206549,0.00171941667197351,0.000349856777381759,9.97386846462269e-05,7.72499034376207e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-1-20CM-4-69-9,0.00701241782322863,0.00781555295037124,0.00864851842929415,0.00815734258877973,0.00872685911515532,0.0128270432970595,0.00716785190202054,0.0062667860340197,0.00212320664866996,0,0.00152938606073847,0.0020853115865125,0.00102789247199429,0.00106159161535641,0.00165746973096436,0.00263501032272085,0.00208307190362655,0.00253461331305643,0.00180605026839914,0.00362391785786189,0.00542024747708876,0,0.000976017847183491,0.00158699930172031,0,0,0.000275955762168588,0.0001093302429318,0,0,0.00295826244232921,0,0,0,0.00112965740217751,0,0,0.000201027473754746,0,0.000203905931396982,0.000176700298623505,0.000155456523992124,0.00268350861975496,0.0021576303054588,0.00224674111313787,0.010224045440202,0.0107556226221245,0.00358770483855328,0.00258349382310113,0,0,0,0,0.000741134886549352,0
40CM-4-65-16,0.0412814358760305,0.046390889298275,0.0465430016863406,0.0513167441222033,0.0429086915594603,0.0938180134290345,0.126086465741054,0.0789316621903909,0.0279959962388911,0.0144393584161364,0.0146384094384968,0.0172410582956302,0.01435565079531,0.0122179544094655,0.0154225537161684,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000199477369292454,0,0.00124155055869775,0.0577252543617356,0.0628870097876024,0.0670656919982338,0.13125450402197,0.0516440603553851,0.0136913038827682,0.00748268930087112,0.00868481520426841,0.00781639403688432,0.0110084286042443,0.0240266694303382,0.00214138566626911,0.00138704805350923,0.00202429149797571,0.00225097296728726,0.00272903857576293,0,0,0,0,0,0,0,0
40CM-4-68-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000115809994402517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00031467431208699,0.000233038151674546,0.000417014178482068,0.000564828701088756,0.000623887977447605,0.000124790530181481,8.93455438909984e-05,0,6.79686437989941e-05,0,0.000172729471102359,0,0,0,0.000420742610707899,0.000144478512834508,0,0,0,0,0,0,0,0
40CM-68-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0032598065848093,0.00301167022211068,0.00269302664512245,0.00373752069432599,0.0050332192470304,0.0101273044966658,0.00790513833992095,0.00525190555865403,0,0,0,0.000870322019147084,0,0.000738066266382079,0.000753186558516802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00029451982749553,0.00088292424509977,0,0,0,0,0,0,0,0
54-19 Family,0,0,0,0,0,0,0,0,0,0,0.000764693030369237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000434640877974573,0.000401556029614757,0.000348509330545259,0.000250840315055436,0,0,0,0,0.000761759664825747,0.000735366212373762,0.000413098993540634,0.000191046296885945,0,0.000119686421575472,0.000115874855156431,0.000812372587789887,0.00020978287472466,0,0,0,0,0,0,0,0,0,0,0,0,0.000444899230324332,0.000441779741243294,0.000160531680927231,0,0,0,0,0,0,0,0
66-474,0.00565584889909214,0.0199017473343382,0.02117562033245,0.0160401592250525,0.00105898964543458,0,0.00485382097302179,0.00969859743360191,0.00855348964178471,0.00454021063600164,0.00360498142888355,0.00309072967286674,0.00235195735117337,0.00218108822791407,0.00323408727993047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000245122070791254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70-9 Family,0,0,0,0,0.000274552871038594,0,0,0,0,0,0,0,0,0,0,0.00328697163968271,0.00276069770360146,0.00323163197414694,0.00183113429990468,0.00724783571572378,0.00984202831366116,0.00544059521041618,0.00120840304889385,0,0,0,0.000297183128489248,0.000415454923140839,0.000119686421575472,0.000386249517188104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAP99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000297183128489248,0,0,0,0,0,0,0,0,0,0,0,0,0.000113281072998323,0.000247380418072907,0.000138183576881888,0,0,0,0,0,0,0,0,0,0,0,0.000247044962183117,0.000662976610801893
Abditibacterium,0,0,0,0,0,0,0,0,0,0,0,0,0.000104531437829927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021037130535395,0.000802658404636155,0,0,0,0,0,0,0,0
AC-32,0,0,0,0,0.000176498274239096,0,0,0,0,0,0,0,0,0,0,0,0,0.000506922662611285,0.000501680630110871,0.000894794532805405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00117807930998212,0.00093108374937794,0,0,0,0,0,0,0,0.000277525092893816
AC-37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000655981457590799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00467238943822666,0.00574727067386121,0.00453062129708836,0.00363718456830382,0.0217435071471713,0.0139428734443533,0.0124622180888166,0.00553076780070645,0,0,0.00229082169145261,0.000997686217071048,0.000765311700522599,0.000339111527797171,0.000984936268829664,0.00121089498934719,0,0,0,0,0,0,0,0,0,0,0,0.000813184430228776,0.000493172641247727,0.00077857365306758,0.00481750289260545,0.00439856805740613,0.00261805488218753,0.00155009629386068,0,0,0,0,0.000171031127665235,0.000123344485730585
AC-56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000738205489564459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC-64,0.00127308775957425,0.00131189638809803,0.00197542760780535,0.0010784948134204,0.00431440225917791,0.00361194721000232,0,0,0,0,0,0.000279282801765067,0,0.000231619988805034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00213279255970071,0.00159797589719688,0.00139822401020458,0.00112965740217751,0,0,0,0,0,0,0.000518188413307078,0,0,0,0.000673188177132639,0.000337116529947185,0,0,0,0,0,0,0,0
Acetivibrio,0,0,0,0,0,0,0,0,0,0,0,0,0.000296172407184794,0.00111949661255766,0.000909587047480444,0,0,0,0,0,0,0,0,0,0,0,0,0.00146502525528612,0,0.000405561993047509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acetivibrionaceae Family,0,0,0,0,0,0,0,0,0,0,0,0.000875086112197211,0.000836251502639419,0.000694859966415102,0.00127342186647262,0,0,0,0,0,0,0,0,0,0,0,0.000573138890657836,0,0.000738066266382079,0.00056006179992275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acetivibrionales Order,0,0,0,0.000705923877875169,0,0,0,0,0,0,0,0.00104265579325625,0.00123695534765414,0.00173714991603775,0.000667030501485659,0,0,0,0,0,0,0,0,0,0,0,0.000403319960092551,0.00104957033214528,0.000857752687957551,0.00104287369640788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00034206225533047,0.000817157217965124
Acetobacteraceae Family,0.00937076072211208,0.00547088706525987,0.00616718862924596,0.00713767476518227,0.00666771258236586,0.00703866635795323,0.0163110960605034,0.0142246095692828,0.00288149473748066,0.00234453500055822,0.00116524652246741,0.00238321324172857,0.00146344012961898,0.0020845798992453,0.00179896104946132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.72499034376207e-05,0.0048895633114146,0.00195797349743016,0,0.00176617769710052,0.00751806478000896,0.0038126487510687,0.000410026027739152,0.000625418807236989,0,0,0.000706801194494019,0.00215911838877949,0.00233112869998916,0.000616465801559658,0.00126796280642434,0.0041863889765436,0.00500858844492961,0.0100843595462038,0.00497909718634036,0,0,0.00138660399529965,0.00134053465962076,0.000570103758884117,0.001002173946561
Acidibrevibacterium,0,0.000949031429687936,0.000891351481570706,0.00054905190501402,0.00233369940382805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000797044803114606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acidimicrobiales Order,0.000960033392465825,0,0,0.000352961938937585,0.0050400062754942,0.00254688585320676,0.00129811491138955,0,0,0,0,0.000186188534510045,0.000505235282844649,0.000115809994402517,0,0.00388460284689775,0.00238423892583762,0.00129898932294142,0.00170571414237696,0.0181195892893094,0.00606211888884927,0.00144152522669147,0.000836586726157278,0,0,0,0.000233501029527267,0.0002186604858636,0,0.000270374662031672,0.00286629573427753,0.00157337156043495,0.00372861042679273,0.0034342344110288,0.00946574995617708,0.00261108672042887,0.000285235497557671,0.000357382175563994,0.000545235035245551,0.000453124291993294,0.000724471224356369,0.00202093481189761,0.00124688279301746,0.00101716857257344,0.00162388219068381,0.0180288208688335,0.0110445796477935,0.00533307476001164,0,0,0,0.000282021151586369,0,0.000171031127665235,4.62541821489693e-05
Acidimicrobiia Class,0,0,0,0,0.00292202698462504,0,0,0,0,0,0,0,0.000174219063049879,0,0.000242556545994785,0.000787786591328915,0.000702723051825825,0.00126730665652821,0.000877941102694025,0.00181195892893094,0.00174731662090361,0.00139502441292723,0,0,0,0,0,0,0,0,0.00387792952284606,0,0,0,0,0,0,0,0,0,0,0,0.00636994470345874,0.00409949758037173,0.00420429772656493,0.0192910487009572,0.0178029634148299,0.00766023465528944,0.00248954859317018,0.000510464522715671,0,0.000587544065804935,0.000427416847995026,0.000399072631218882,0.000231270910744847
Acidipila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00083913149889864,0,0,0.000331106479948581,0,0.000285235497557671,0,0,0,0.000229710388210556,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acidisoma,0.000688719607638527,0,0,0,0,0,0,0.00248681985476972,0.000788619612363129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000597783602335954,0,0,0,0.000584305552850437,0,0,0,0,0,0,0,0,0,0,0.00029451982749553,0,0.00353922234073499,0,0,0,0,0,0,0
Acidisphaera,0.000271313784827298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000409013886995306,0,0,0,0,0,0,0,0,0,0,0.000315556958030925,0,0,0,0,0,0,0,0,0
Acidobacteriaceae Family,0.00116873630387144,0.00153519790096578,0.00103589496506866,0.000451006921975803,0,0,0,0,0.00221420121932725,0.00416806222321462,0.00145655815308426,0.000949561526001229,0.000383281938709734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000116861110570087,0,0.000267408278960317,0.000424391333482243,0.000603653074736145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acidobacteriota Phylum,0,0,0,0,0.00049027298399749,0,0,0,0,0,0,0,0,0,0,0.000923611865695969,0.00163132137030995,0,0.000777604976671851,0,0.000677530934636095,0.000790513833992095,0.00227737497676148,0,0,0,0.00106136831603303,0.000437320971727199,0.000239372843150945,0.000637311703360371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000904596613021984,0.001043455926027,0,0,0,0,0,0,0,0
Acidocella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00031467431208699,0,0,0,0.000161748734893823,0.000552643776517988,0.000402054947509493,0.000467344315924758,0.000430468077393629,0.000212040358348206,0.000345458942204719,0,0,0,0,0,0,0,0,0,0,0,0,0
Acidoferrum,0.00235834289888344,0,0,0,0,0,0,0,0.00549000576298948,0.00621487849354323,0.000983176753331877,0.00109851235360926,0.000836251502639419,0,0.000161704363996523,0,0,0,0,0,0,0,0,0,0,0,0.000212273663206606,0,0,0.000154499806875241,0.0208764427277326,0.0237404286563407,0.0292629336174179,0.0248981994799588,0.00409013886995306,0.014488065254061,0.0466181766320819,0.058968058968059,0.0337656268255637,0.0315827631519326,0.0270704857491209,0.0327667806681176,0.0179171636127074,0.0171377492833585,0.0153490234461894,0.000315556958030925,0,0,0.0083141528488891,0.0652930530419045,0.0566444625485216,0.0196709753231492,0.0111516941249611,0.00724031773782829,0.00740066914383509
Acidothermus,0.00231660231660232,0.00114442025344722,0.00137316309323055,0.00109810381002804,0.00103937872607468,0.00338041213243806,0.00491026075177785,0,0,0,0.000801106984196344,0.000260663948314063,0.000313594313489782,0.000463239977610068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinoallomurus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00117807930998212,0,0,0,0,0,0,0,0,0
Actinocrinis,0.00214963998747783,0,0.00166225006022645,0.000509833911798733,0.00351035456542203,0.00777957860615883,0,0,0,0,0.000691865122715024,0.000316520508667076,0.000191640969354867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinomycetales Order,0.000459146405092351,0,0,0,0.000921713209915281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000246068496521486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinomycetia Class,0.00221225086089951,0.00167476134650812,0.00166225006022645,0.00127458477949683,0.00758942579228114,0.00926140310257004,0,0,0,0,0,0.000446852482824108,0,0,0.000444687000990439,0.000380310768227752,0,0,0,0.00259490414513567,0.000641871411760511,0,0,0,0,0,0,0,0,0,0.000735733664413482,0.00066431243662809,0,0.000392483932689006,0.000681689811658844,0,0,0,0,0,0,0.000345458942204719,0.000460804510462973,0.000493172641247727,0,0.00809929525612706,0.0018782206668486,0,0,0,0,0,0,0,0
