#SampleID	sample	name	amplicon	source	soil	fraction	ri	bouyantdensity	bd_round	GC	GC_round	label
7.5_11	7.5_11	GcB11	1	GcB	GcB (Craibstone pH 7.5)	11	1.3960	1.659999	1.660	46.70000	46.7	GcB11 (46)
7.5_12	7.5_12	GcB12	1	GcB	GcB (Craibstone pH 7.5)	12	1.3955	1.654536	1.655	43.50000	43.5	GcB12 (43)
7.5_13	7.5_13	GcB13	1	GcB	GcB (Craibstone pH 7.5)	13	1.3950	1.649072	1.649	40.20000	40.2	GcB13 (40)
7.5_14	7.5_14	GcB14	1	GcB	GcB (Craibstone pH 7.5)	14	1.3945	1.643609	1.644	37.00000	37.0	GcB14 (37)
7.5_0.1	7.5_0.1	GcBr1	1	GcB	GcB (Craibstone pH 7.5)	 0	NA	NA	NA	NA	NA	GcBrep1
7.5_0.2	7.5_0.2	GcBr2	1	GcB	GcB (Craibstone pH 7.5)	 0	NA	NA	NA	NA	NA	GcBrep2
7.5_0.3	7.5_0.3	GcBr3	1	GcB	GcB (Craibstone pH 7.5)	 0	NA	NA	NA	NA	NA	GcBrep3
CM_0	CM_0	GcC	1	GcC	GcC (Corsemaul)	 0	NA	NA	NA	NA	NA	GcC
CM_5	CM_5	GcC5	1	GcC	GcC (Corsemaul)	 5	1.3993	1.696058	1.696	68.00000	68.0	GcC5 (68)
CM_6	CM_6	GcC6	1	GcC	GcC (Corsemaul)	 6	1.3986	1.688409	1.688	64.00000	64.0	GcC6 (64)
CM_7	CM_7	GcC7	1	GcC	GcC (Corsemaul)	 7	1.3980	1.681853	1.682	60.00000	60.0	GcC7 (60)
CM_8	CM_8	GcC8	1	GcC	GcC (Corsemaul)	 8	1.3973	1.674204	1.674	55.00000	55.0	GcC8 (55)
CM_9	CM_9	GcC9	1	GcC	GcC (Corsemaul)	 9	1.3967	1.667648	1.668	51.00000	51.0	GcC9 (51)
CM_10	CM_10	GcC10	1	GcC	GcC (Corsemaul)	10	1.3962	1.662185	1.662	48.00000	48.0	GcC10 (48)
CM_11	CM_11	GcC11	1	GcC	GcC (Corsemaul)	11	1.3957	1.656721	1.657	45.00000	45.0	GcC11 (45)
CM_0.1	CM_0.1	GcCr1	1	GcC	GcC (Corsemaul)	 0	NA	NA	NA	NA	NA	GcCrep1
CM_0.2	CM_0.2	GcCr2	1	GcC	GcC (Corsemaul)	 0	NA	NA	NA	NA	NA	GcCrep2
CM_0.3	CM_0.3	GcCr3	1	GcC	GcC (Corsemaul)	 0	NA	NA	NA	NA	NA	GcCrep3
LD_0	LD_0	GcL	1	GcL	GcL (Lower Dell)	 0	NA	NA	NA	NA	NA	GcL
LD_4	LD_4	GcL4	1	GcL	GcL (Lower Dell)	 4	1.3997	1.700429	1.700	70.61993	70.6	GcL4 (70)
LD_5	LD_5	GcL5	1	GcL	GcL (Lower Dell)	 5	1.3992	1.694966	1.695	67.38648	67.4	GcL5 (67)
LD_6	LD_6	GcL6	1	GcL	GcL (Lower Dell)	 6	1.3985	1.687317	1.687	62.85965	62.9	GcL6 (62)
LD_7	LD_7	GcL7	1	GcL	GcL (Lower Dell)	 7	1.3980	1.681853	1.682	59.62620	59.6	GcL7 (59)
LD_8	LD_8	GcL8	1	GcL	GcL (Lower Dell)	 8	1.3974	1.675297	1.675	55.74606	55.7	GcL8 (55)
LD_9	LD_9	GcL9	1	GcL	GcL (Lower Dell)	 9	1.3968	1.668741	1.669	51.86592	51.9	GcL9 (51)
LD_10	LD_10	GcL10	1	GcL	GcL (Lower Dell)	10	1.3963	1.663277	1.663	48.63247	48.6	GcL10 (48)
LD_11	LD_11	GcL11	1	GcL	GcL (Lower Dell)	11	1.3957	1.656721	1.657	44.75233	44.8	GcL11 (44)
LD_12	LD_12	GcL12	1	GcL	GcL (Lower Dell)	12	1.3952	1.651258	1.651	41.51888	41.5	GcL12 (41)
LD_13	LD_13	GcL13	1	GcL	GcL (Lower Dell)	13	1.3948	1.646887	1.647	38.93212	38.9	GcL13 (38)
LD_0.1	LD_0.1	GcLr1	1	GcL	GcL (Lower Dell)	 0	NA	NA	NA	NA	NA	GcLrep1
LD_0.2	LD_0.2	GcLr2	1	GcL	GcL (Lower Dell)	 0	NA	NA	NA	NA	NA	GcLrep2
LD_0.3	LD_0.3	GcLr3	1	GcL	GcL (Lower Dell)	 0	NA	NA	NA	NA	NA	GcLrep3
