Phylum,Class,Order,Family,Genus
Firmicutes_E,UBA4802,Helarchaeales,DHVEG-1,SKSH01
Dormibacterota,Leptospirae,Hermodarchaeles,B18-G2,UBA12382
Chloroflexota,UBA8481,Thorarchaeales,JdFR-43,Methanonatronarchaeum
Armatimonadota,2-12-FULL-62-27,Baldrarchaeales,DSCA01,Methanolobus
CSP1-3,T1Sed10-126,Jordarchaeales,UBA287,Methanomethylovorans
Eremiobacterota,UBA9980,Odinarchaeales,47-G6,Methanohalophilus
Deinococcota,Ozemobacteria,UBA460,Nitrosopumilaceae,Methanococcoides
Actinomycetota,UBA6191,JABLTI01,Nitrososphaeraceae,JAFGQV01
Atribacterota,Mcinerneyibacteria,Hodarchaeales,Nitrosocaldaceae,Methanosalsum
Aerophobota,Fusobacteriia,Borrarchaeales,UBA213,Methanohalobium
CG03,Calescibacteriia,Methanobacteriales,UBA57,Methanosarcina
Elusimicrobiota,DRYD01,Hydrothermarchaeales,JACQRY01,MTP4
UBA6262,UBA6624,Methanococcales,CADDZS01,Methanimicrococcus
FCPU426,Babeliae,Methanopyrales,JAAOZN01,Methanoperedens
Firestonebacteria,Campylobacteria,Thermococcales,JACAEJ01,Methanoperedens_A
Goldbacteria,Desulfurellia,Methanofastidiosales,UBA183,Ethanoperedens
UBA9089,GBS-1,Hadarchaeales,UBA164,EX4572-44
UBP18,Synergistia,Anstonellales,Conexivisphaeraceae,Methanocomedens
Desantisbacteria,Bipolaricaulia,DTNL01,JDFR-13,Methanogaster
JACRDZ01,Thermotogae,Burarchaeales,NZ13-MGT,JdFR-19
PUNC01,DUMJ01,CABMEP01,Caldarchaeaceae,Methanothrix
UBA6266,Dictyoglomia,CAILAH01,HR02,Methanothrix_A
JABMQX01,JACIXR01,Micrarchaeales,JAAOZP01,Bog-38
Aureabacteria,Caldisericia,Norongarragalinales,JAAOZO01,Methanocella
JACPWU01,Thermodesulfobiia,B1Sed10-29,DTQO01,Methanocella_A
JAFGBW01,HKB111,WALL01,UBA233,UBA148
Verrucomicrobiota,Coprothermobacteria,Iainarchaeales,BA1,JACGMN01
UBA3054,Gracilibacteria,0-14-0-20-30-16,B26-1,ANME-1-THS
Chlamydiota,JAEDAM01,JAADDC01,EX4484-135,QENH01
Ratteibacteria,JACMRA01,IMC4,TCS64,QEXZ01
NPL-UPA2,Kazan-3B-28,Altiarchaeales,40CM-2-53-6,WJOV01
CAIJMQ01,CPR2,Woesearchaeales,FEN-987,QENJ01
Omnitrophota,Saccharimonadia,SCGC-AAA011-G17,RBG-13-38-9,Archaeoglobus_A
Poribacteria,Andersenbacteria,Pacearchaeales,DTDX01,Archaeoglobus_C
Abyssubacteria,Doudnabacteria,UBA10117,DTGE01,Archaeoglobus
Hydrogenedentota,JABMPQ01,Tiddalikarchaeales,B25,WYZ-LMO2
OLB16,ABY1,WJKC01,B24,Archaeoglobus_B
Sumerlaeota,Paceibacteria,B33-G15,DRYS01,Geoglobus
RBG-13-66-14,UBA1384,PEZQ01,Desulfurococcaceae,Ferroglobus
Planctomycetota,Dojkabacteria,Parvarchaeales,Pyrodictiaceae,JdFR-21
Fibrobacterota,4484-211,CSSed11-243R1,Acidilobaceae,Methanolliviera
Cloacimonadota,WWE3,Nanoarchaeales,Ignicoccaceae,Methanoliparum
AABM5-125-24,CPR3,CG10238-14,Fervidicoccaceae,Methanoregula
Delongbacteria,Microgenomatia,JACPZZ01,Ignisphaeraceae,MVRE01
Calditrichota,CG2-30-54-11,QMZP01,AG1,Methanolinea_A
SM23-31,4484-113,Aenigmatarchaeales,NBVN01,UBA9949
KSB1,UBA6099,PWEA01,Sulfolobaceae,SD8
JdFR-76,Sericytochromatia,GW2011-AR5,EX4484-217-1,CAIKOD01
QNDG01,Cyanobacteriia,QMZS01,Marsarchaeaceae,Methanospirillum
Marinisomatota,Vampirovibrionia,Nanosalinales,UBA168,UBA288
CLD3,WOR-1,EX4484-52,Thermocladiaceae,Methanoculleus
Bacteroidota,Termititenacia,SpSt-1190,Thermoproteaceae,Methanomicrobium
UBP14,Marinamargulisbacteria,Undinarchaeales,Thermofilaceae,Methanolacinia
WOR-3,Riflemargulisbacteria,B62-G9,B20-G17,Methanogenium
Latescibacterota,Limnochordia,JAAYUW01,B15-G2,DSDF01
JAAXHH01,DTU084,GWE2-31-10,QMSL01,LKUD01
TA06,DTU065,WRBN01,Gearchaeaceae,Methanofollis
Edwardsbacteria,UBA5301,Spirochaetales_E,Methanomethylicaceae,Methanocorpusculum
Zixibacteria,SHA-98,JABEVK01,WYZ-LMO8,Methanocalculus
4572-55,UBA4882,Treponematales,B40-G2,MGIIa-L1
Gemmatimonadota,UBA994,DSM-27196,B29-G17,Poseidonia
Fermentibacterota,Bacilli,Spirochaetales_A,DSZF01,MGIIa-L2
Krumholzibacteriota,Halanaerobiia,SPDA01,Korarchaeaceae,MGIIa-L3
Eisenbacteria,Ch29,SZUA-6,QMVU01,MGIIa-K1
VGIX01,Thermoanaerobacteria,CADAEX01,SOKP01,MGIIa-K2
JABDJQ01,Clostridia,JC444,AMARA-1,UBA226
Acidobacteriota,Thermosediminibacteria,JABMQR01,MK-D1,PSPT01
Chrysiogenota,Proteinivoracia,Sphaerochaetales,WJJB01,MGIIa-I
Deferribacterota,Natranaerobiia,PWKH01,HEL-GB-A,MGIIb-O3
Thermosulfidibacterota,Dethiobacteria,B11-G9,JABXJV01,MGIIb-O5
Aquificota,DTU030,DSM-16054,Hermodarchaeaceae,Thalassarchaeum
Methylomirabilota,Thermincolia,ARS1246,Thorarchaeaceae,MGIIb-O2
Moduliflexota,Desulfotomaculia,Borreliales,DXJG01,MGIIb-O1
SZUA-182,Z-2901,Brevinematales,DTBI01,MGIIb-N1
Schekmanbacteria,Desulfitobacteriia,Brachyspirales,LCB-4,MGIIb-N2
Nitrospinota_B,Peptococcia,COTS27,UBA460,MGIIb-Q1
Tectomicrobia,Dehalobacteriia,JAHITG01,Kariarchaeaceae,MGIIb-P
UBA8248,TC1,UBA4802,JABLTI01,CG-Epi1
Nitrospinota,Syntrophomonadia,Turneriellales,Hodarchaeaceae,UBA8886
Nitrospirota,Moorellia,Leptospirales,Borrarchaeaceae,UBA102
CG2-30-53-67,Negativicutes,UBA8481,Methanobacteriaceae,JAFGLL01
B130-G9,Symbiobacteriia,2-12-FULL-62-27,Methanothermobacteraceae,UBA71
CSSED10-310,UBA3569,T1Sed10-126,Methanothermobacteraceae_A,Methanomethylophilus
Desulfobacterota,Sulfobacillia,UBA9980,BMS3B,Methanoplasma
UBA10199,SLMV01,Ozemobacterales,WAQR01,Methanogranum
Bdellovibrionota_E,RBS10-35,UBA6191,Hydrothermarchaeaceae,VadinCA11
Desulfobacterota_G,Thermaerobacteria,JACPRK01,SZUA-236,SIG5
SZUA-79,DTU015,Mcinerneyibacteriales,Methanococcaceae,MX-02
Desulfobacterota_D,Dormibacteria,Fusobacteriales,Methanocaldococcaceae,RumEn-M2
Desulfobacterota_C,Limnocylindria,Calescibacteriales,Methanopyraceae,WRKA01
Desulfobacterota_E,Chloroflexia,DRYD01,Thermococcaceae,PWHV01
BMS3Abin14,UBA6077,UBA6624,Methanofastidiosaceae,UBA6
FEN-1099,FW602-bin22,Babeliales,NM3,Methanomassiliicoccus_A
Desulfobacterota_B,Dehalococcoidia,Nautiliales,SZ-28-30,DTU008
JACPQY01,DTOL01,Campylobacterales,Hadarchaeaceae,UBA472
Myxococcota,Anaerolineae,Desulfurellales,DTKF01,MVRC01
RBG-13-61-14,UBA11872,GBS-1,WYZ-LMO6,FEN-33
Desulfobacterota_I,UBA2235,Synergistales,DSZJ01,JACIVX01
UBA2233,Ktedonobacteria,RBG-16-55-9,Bilamarchaeaceae,COMBO-56-21
Nitrospirota_A,UBA5177,M55B111,J096,UBA9653
Proteobacteria,SYMT01,Bipolaricaulales,Anstonellaceae,UBA147
UBP6,DTGP01,UBA7950,DTGH01,RBG-16-68-12
Bdellovibrionota_C,HRBIN16,B3-G13,DTNL01,EA-19
SAR324,Fimbriimonadia,Mesoaciditogales,Burarchaeaceae,EA-27
Bdellovibrionota,Armatimonadia,UBA12178,CABMEP01,UBA184
Myxococcota_A,Chthonomonadetes,Thermotogales,CAILAH01,UBA582
,UBA5829,Petrotogales,Micrarchaeaceae,B-DKE
,CAIYQO01,B21-G9,JACPGT01,Ferroplasma
,UBA5377,MWEM01,UBA10210,Thermoplasma
,UBA10988,DUMJ01,Norongarragalinaceae,GCA-001856825
,HRBIN17,Dictyoglomales,UBA97,Aciduliprofundum
,Abditibacteria,JACIXR01,UBA8480,JAADDK01
,CSP1-3,JAAYUI01,SBBD01,ARK-15
,Eremiobacteria,UBA6126,B1Sed10-29,Natronoplasma
,Xenobia,B22-G15,WALL01,PWKY01
,Deinococci,Cryosericales,Iainarchaeaceae,SM1-50
,Acidimicrobiia,Caldisericales,JAFGBZ01,EX4572-165
,Actinomycetia,Thermodesulfobiales,GW2011-AR10,JACIWB01
,UBA4738,HKB111,1-14-0-10-31-34,UBA287
,Rubrobacteria,Coprothermobacterales,VGJJ01,B47-G6
,Thermoleophilia,UM-FILTER-43-11,JAGVWC01,Nitrosopumilus
,Coriobacteriia,Peribacterales,JACPJC01,Nitrosarchaeum_A
,Geothermincolia,CAIRYL01,GCA-2688035,Nitrosarchaeum
,Humimicrobiia,UBA4473,JAAZKV01,JACEMX01
,Aquicultoria,UBA1369,DTGL01,Cenarchaeum
,Atribacteria,RBG-16-42-10,0-14-0-20-30-16,VYCS01
,JS1,Absconditabacterales,CSSED10-239,PXYB01
,Aerophobia,BD1-5,JAADDC01,DRGT01
,SLGR01,JACMRA01,QMZM01,Nitrosopelagicus
,CG03,Kazan-3B-28,SCGC-AAA252-I15,CSP1-1
,UBA8919,CPR2,Altiarchaeaceae,VHBM01
,Elusimicrobia,UBA1875,GW2011-AR4,Nitrosotenuis
,Endomicrobia,UBA4664,WJIZ01,Nitrosotalea
,UBA6262,QS-5-54-17,JACPBV01,TA-20
,Palsa-1180,Saccharimonadales,WJKL01,Nitrososphaera
,JAAXVQ01,CAILAD01,JAFCFN01,UBA10452
,D2-FULL-39-29,UBA10190,ARS49,TH5896
,PGYV01,UBA920,JAGWAF01,Nitrosocosmicus
,CG2-30-40-21,JABMPQ01,UBA10200,TA-21
,UBA7526,UBA1558,DSVV01,TH1177
,UBA1551,S139-126,JACRKL01,Nitrosocaldus
,JACRDZ01,GWA2-43-13,JAADFO01,UBA213
,PUNC01,UBA9629,JABMPP01,UBA57
,UBA6266,UBA2169,UBA525,JACQRY01
,JABMQX01,UBA2196,SKIA01,CADDZS01
,SURF-26,CAIXNZ01,SKGA01,JAAOZN01
,JACPWU01,UBA11705,WJKR01,JACAEJ01
,JAFGBW01,BM507,21-14-0-10-32-9,UBA183
,Verrucomicrobiae,XYB2-FULL-38-15,SM23-78,TA-13
,Kiritimatiellae,GCA-002772895,JAHJEM01,BOG-1369
,Lentisphaeria,2-01-FULL-39-33,GCA-2686295,UBA164
,UBA3054,Buchananbacterales,UBA9642,Conexivisphaera
,Chlamydiia,UBA2591,GW2011-AR15,SZUA-1514
,UBA8468,JABMQE01,BM511,WAMZ01
,NPL-UPA2,JAACEG01,UBA11576,JGI-0000106-J15
,CAIJMQ01,JACQRZ01,UBA12501,EX4484-121
,4484-213,Veblenbacterales,CAIVOO01,NZ13-MG1
,Omnitrophia,GWA2-46-9,UBA10107,Caldarchaeum
,Koll11,GWA2-47-26,UBA10216,HRBIN02
,DTPJ01,SG8-24,B29-G15,DTDI01
,WGA-4E,Magasanikbacterales,UBA119,JGI-OTU-1
,SURF-5,UBA10025,JAGVZT01,JAAOZP01
,Hydrogenedentia,UM-FILTER-42-10,CG1-02-33-12,JAAOZO01
,OLB16,SBBC01,GW2011-AR9,DTQO01
,Sumerlaeia,UBA9570,UBA583,PALSA-986
,RBG-13-66-14,H02-48-17,WAPJ01,SG8-32-3
,B26-G2,UBA9983_A,GW2011-AR17,AD8-1
,SBBH01,UBA6257,JACPNG01,JACAEI01
,UBA8108,JACQLN01,VGLX01,JdFR-07
,J058,2-02-FULL-40-12,UBA489,DRVP01
,PLA2,UBA10092,JACPIM01,DRVV01
,GCA-002687715,Sungbacterales,GW2011-AR18,SOJA01
,B15-G4,Ryanbacterales,JAFCDX01,UBA233
,UBA1135,UBA9983,PNOQ01,BIN-L-1
,UBA8742,GWC2-36-17,JAGVZF01,DTEX01
,Planctomycetia,Spechtbacterales,GW2011-AR20,B63
,Phycisphaerae,Terrybacterales,ARS1403,PIYB01
,DG-23,Paceibacterales,GCA-2688095,B26-1
,Brocadiae,Portnoybacterales_A,JAGVZH01,EX4484-135
,MHYJ01,Portnoybacterales,GW2011-AR1,RBG-16-57-9
,PUPC01,SW-4-49-11,DTIR01,UBA8941
,J132,Moranbacterales,UBA284,GCA-2726865
,SZUA-567,CAIUEV01,UBA12030,JAGTRB01
,UBA11346,UBA1384,ARS21,40CM-2-53-6
,Chitinivibrionia,GWA2-35-9,JABICX01,BA-13
,OXYB2-FULL-49-7,2-12-FULL-50-11,UBA10117,FEN-987
,Fibrobacteria,UBA12157,Tiddalikarchaeaceae,RBG-13-38-9
,Cloacimonadia,XYA2-FULL-43-10,WJKC01,DTMT01
,BMS3BBIN04,CAILIB01,B33-G15,DTDX01
,RPQS01,JACPKC01,JAFCGN01,DTGE01
,AABM5-125-24,J137,PEZQ01,B25
,B3-LCP,JAHIVN01,Parvarchaeaceae,EX4484-218
,JABMRZ01,B142,CSSed11-243R1,DTBU01
,UBA4055,SC72,Nanopusillaceae,DRYS01
,Calditrichia,GCA-002793355,SCSR01,UBA285
,SM23-31,4484-211,EX4484-224,Desulfurococcus
,UBA2214,9FT-COMBO-53-11,CG10238-14,Thermosphaera
,JdFR-76,UBA101185,JACPZZ01,Thermogladius
,QNDG01,2-01-FULL-39-13,QMZP01,JAADCY01
,SORT01,CG2-30-40-12,JAFGSV01,Staphylothermus
,Marinisomatia,0-14-0-20-40-13,QMZT01,Pyrodictium
,AB16,CPR3,Aenigmatarchaeaceae,QNYQ01
,UBA8477,Woykebacterales,JAADFI01,Pyrolobus
,UBA2242,Curtissbacterales,SZUA-1535,JAADGB01
,CLD3,Daviesbacterales,PWEA01,S143-63
,JABWAT01,2-02-FULL-39-11,JACQIF01,Aeropyrum
,Chlorobia,UBA10105,GW2011-AR5,Caldisphaera
,Rhodothermia,JACPZF01,JACRAC01,Acidilobus
,Bacteroidia,Levybacterales,JACRMX01,WALW01
,0-14-0-80-59-12,GCA-001788215,WALA01,Ignicoccus_A
,UBA10030,JAADGY01,QMZS01,ARK-14
,T3Sed10-11,UBA1406,Nanosalinaceae,Ignisphaera
,Kryptonia,UBA1400,B79-G9,QMWT01
,Ignavibacteria,0-14-0-10-38-17,LFW-46,AG1
,SZUA-365,UBA12405,EX4484-52,Zestosphaera
,Kapabacteria,UM-FILTER-40-11,GLR71,DRZP01
,UBA6098,PFEM01,JAADEF01,DTCV01
,UBA3073,GWA2-44-7,SpSt-1190,Acidianus
,SDB-A,CG2-30-54-11,Undinarchaeaceae,Metallosphaera
,32-111,4484-113,B62-G9,Saccharolobus
,E44-bin80,UBA6099,JAAYUW01,Sulfuracidifex
,UBA3072,S15B-MN24,GWE2-31-10,Sulfolobus
,Hydrothermia,UBA7694,WRBN01,Stygiolobus
,WOR-3,Gloeobacterales,Spirochaetaceae_B,Sulfurisphaera
,Latescibacteria,PCC-7336,DSM-19205,Sulfodiicoccus
,MVCY01,Thermosynechococcales,JABEVK01,ECH-B-1
,4484-107,CACIAM-69d,Termitinemataceae,UBA168
,UBA2968,Synechococcales,Treponemataceae,Vulcanisaeta
,JAAXHH01,PCC-9006,UBA12059,Caldivirga
,DG-26,Elainellales,UBA8932,Thermocladium
,AC1,Phormidesmiales,Salinispiraceae,JAADER01
,MSB-5A5,Leptolyngbyales,Alkalispirochaetaceae,Pyrobaculum
,4572-55,Cyanobacteriales,SKKC01,Thermoproteus
,Glassbacteria,Pseudanabaenales,PWMO01,Infirmifilum
,Gemmatimonadetes,Gloeomargaritales,SLST01,Thermofilum_B
,Fermentibacteria,PCC-6307,PXBQ01,Thermofilum_C
,Krumholzibacteria,Vampirovibrionales,SLAA01,DRZQ01
,RBG-16-71-46,Gastranaerophilales,DTKZ01,B15-G2
,VGIX01,Obscuribacterales,Spirochaetaceae_A,AAA261-N23
,JABDJQ01,2-02-FULL-35-15,SZUA-6,Methanosuratus
,Holophagae,Caenarcaniphilales,DRHE01,Methanomethylicus
,UBA4820,O2-12-FULL-45-9,Fen-1364,WYZ-LMO10
,Thermoanaerobaculia,XYC2-FULL-46-14,RPPD01,WYZ-LMO8
,Mor1,Termititenacales,JAFGRV01,B29-G17
,CAIWXX01,SXXA01,CADAEX01,DSZF01
,Blastocatellia,JABIPA01,UBA9216,Korarchaeum
,Acidobacteriae,UBA817,Marispirochaetaceae,WALU01
,UBA6911,GCA-2716485,JABMQR01,QMVU01
,Vicinamibacteria,GWF2-35-9,Sphaerochaetaceae,Loki-b32
,UBA890,DTU010,PWKH01,SOKP01
,B3-B38,DTU087,B11-G9,FT1-020
,Aminicenantia,JAAZLZ01,Sediminispirochaetaceae,SDNM01
,Chrysiogenetes,DTU080,ARS1246,LW40-45
,Deferribacteres,Limnochordales,Borreliaceae,TEKIR-8
,Thermosulfidibacteria,Limnochordales_A,GWF1-51-8,6H3-1
,Desulfurobacteriia,DTU084,JABLXN01,AMARA-1
,Aquificae,DTU065,Brachyspiraceae,Prometheoarchaeum
,Methylomirabilia,UBA5301,JAFGJZ01,JABXJT01
,Moduliflexia,UBA4971,UB4802,JABXJV01
,SZUA-182,Ch115,UBA5550,Hermodarchaeum
,GWA2-38-11,DTU014,JAFGDQ01,YT-063
,2-12-FULL-45-22,DTUO25,UBA5368,SMTZ1-45
,Entotheonellia,UBA8346,Turneriellaceae,MP8T-1
,UBA8248,UBA10575,Leptospiraceae,MP5-2226
,Nitrospinia,JAAYKD01,JABAAI01,WTCK01
,UBA9942,PWPR01,Leptonemataceae,SMTZ1-83
,UBA7883,UBA5500,2-12-FULL-62-27,OWC5
,RBG-16-64-22,UBA994,T1Sed10-126,SHMX01
,UBA9217,Alicyclobacillales,UBA9980,WJIL01
,Thermodesulfovibrionia,Tumebacillales,Ozemobacteraceae,DXJG01
,Nitrospiria,Kyrpidiales,UBA6191,DTBI01
,9FT-COMBO-42-15,Desulfuribacillales,JACPRK01,LCB-4
,CG2-30-53-67,Bacillales_F,DSCS01,UBA460
,B130-G9,Calditerricolales,Leptotrichiaceae,Kariarchaeum
,CSSED10-310,DSM-22653,Fusobacteriaceae,JABLTI01
,JADFVX01,Thermoactinomycetales,Calescibacteriaceae,Hodarchaeum
,Desulfuromonadia,Caldalkalibacillales,DRYD01,Borrarchaeum
,JAENJC01,Bacillales_A,UBA6624,Methanobrevibacter_A
,GWC2-55-46,JC228,GCA-2401785,Methanobrevibacter_B
,DSWW01,Bacillales_D,RVW-14,Methanobrevibacter
,Zymogenia,Bacillales_H,UASB340,Methanobrevibacter_C
,Desulfomonilia,Bacillales_G,JABCYS01,Methanobrevibacter_D
,Desulfarculia,Bacillales_E,Chromulinavoraceae,Methanobacterium
,Desulfobaccia,Bacillales_C,UBA12409,Methanobacterium_A
,Desulfofervidia,Bacillales,JABDEC01,Methanobacterium_B
,Desulfobulbia,Bacillales_B,Vermiphilaceae,Methanobacterium_C
,Dissulfuribacteria,DSM-16016,Babeliaceae,Methanosphaera
,Thermodesulfobacteria,Lactobacillales,Nautiliaceae,Methanobacterium_D
,QYQD01,Staphylococcales,Thiovulaceae,UBA349
,Syntrophobacteria,Acholeplasmatales,Nitratiruptoraceae,UBA588
,DSM-4660,Izemoplasmatales,Hydrogenimonadaceae,Methanothermobacter
,RBG-13-43-22,MAG-NZ,Sulfurovaceae,Methanothermobacter_A
,JADFXK01,ML615J-28,Sulfurimonadaceae,JAADFX01
,Desulfobacteria,RFN20,UBA6016,JAADFH01
,Syntrophia,Erysipelotrichales,SZUA-545,BMS3B
,WTBG01,RF39,Helicobacteraceae,SZUA-236
,SM23-61,Mycoplasmatales,Arcobacteraceae,Methanococcus
,UBA8473,Haloplasmatales,Sulfurospirillaceae,Methanofervidicoccus
,BSN033,Haloplasmatales_A,Campylobacteraceae,Methanothermococcus_A
,JdFR-97,Culicoidibacterales,UBA1877,Methanotorris
,UBA10199,Exiguobacterales,JAADDL01,Methanocaldococcus
,O2-12-FULL-43-9,Brevibacillales,QNZT01,Methanocaldococcus_A
,Syntrophorhabdia,Aneurinibacillales,Desulfurellaceae,Methanopyrus
,SZUA-79,Tepidibacillales,Hippeaceae,Thermococcus
,UBA1144,Paenibacillales,GBS-1,Pyrococcus
,Deferrisomatia,Halanaerobiales,Thermosynergistaceae,Thermococcus_B
,Anaeroferrophillalia,Halobacteroidales,Thermovirgaceae,Thermococcus_A
,MBNT15,DY22613,JAFGMB01,Palaeococcus
,BMS3Abin14,B1SED10-174,Aminobacteriaceae,Methanofastidiosum
,FEN-1099,Ch29,Dethiosulfovibrionaceae,NM3
,Binatia,Thermoanaerobacterales,79-D21,SZ-28-30
,JACPQY01,Caldicellulosiruptorales,Synergistaceae,DG-33
,UBA6777,Lutisporales,Aminiphilaceae,B75-G9
,Myxococcia,Clostridiales,SV1-B22,Hadarchaeum
,UBA4151,Eubacteriales,Acetomicrobiaceae,DTKF01
,UBA727,Tissierellales,DRXL01,WYZ-LMO6
,WYAZ01,Peptostreptococcales,RBG-16-55-9,DSZJ01
,XYA12-FULL-58-9,Caldicoprobacterales,M55B111,Bilamarchaeum
,B64-G9,Mahellales,Bipolaricaulaceae,JACCLJ01
,SpSt-1050,HGM11327,UBA9294,CAIKOA01
,Polyangia,Christensenellales,B3-G13,CAIXOA01
,UBA9042,SK-Y3,Mesoaciditogaceae,JAADEL01
,Bradymonadia,Oscillospirales,UBA12178,J096
,RBG-13-61-14,UMGS1840,Thermotogaceae,CAIXYX01
,Desulfovibrionia,Monoglobales,DSM-5069,UBA10161
,UBA2233,HGM11514,Fervidobacteriaceae,Anstonella
,Leptospirillia,RGIG6154,Kosmotogaceae,Fermentimicrarchaeum
,Gammaproteobacteria,UBA1381,Petrotogaceae,CAILAH01
,Zetaproteobacteria,UMGS1810,MWEM01,JACPGT01
,Magnetococcia,UMGS1883,DUMJ01,UBA10210
,Alphaproteobacteria,RUG12999,Dictyoglomaceae,Norongarragalina
,UBA1177,TANB77,JACIXR01,UBA8480
,UBA2361,Saccharofermentanales,JAAYUI01,B1Sed10-29
,SAR324,DUPQ01,UBA6126,UBA10205
,Bdellovibrionia,UBA1212,B22-G15,1-14-0-10-31-34
,Bacteriovoracia,Acetivibrionales,Cryosericaceae,VGJJ01
,Bdellovibrionia_A,Lachnospirales,Caldisericaceae,JACPJC01
,Oligoflexia,Thermosediminibacterales,Thermodesulfobiaceae,JAFCCL01
,FAC87,Koleobacterales,HKB111,JAFGDB01
,UBA2394,Proteinivoracales,Coprothermobacteraceae,JAFCCZ01
,UBA2428,UBA4975,UM-FILTER-43-11,JAAZKV01
